"Rate","Quantity","Discount","Item Name","Sales Amount","Net Sales","Month","Date","Discount_per_unit","Year","id"
146.26,41,23.78,Classic Hot Fudge Sundae,5996.66,5972.88,,"2023-01-20",0.580000,,137
130.23,7,29.54,Caramel Affogato,911.61,882.07,,"2023-01-20",4.220000,,138
225.70,18,85.68,Chilli Cheese Toast,4062.6,3976.92,,"2023-01-20",4.760000,,139
195.41,10,29.30,Plant Milk Frappe-Coconut,1954.1,1924.8,,"2023-01-20",2.930000,,140
125.37,29,66.12,Death By Chocolate Sundae,3635.73,3569.61,,"2023-01-20",2.280000,,141
194.70,26,97.76,Coconut Spiced Latte,5062.2,4964.44,,"2023-01-20",3.760000,,142
204.53,22,37.84,Cafe Americano Regular,4499.66,4461.82,,"2023-01-20",1.720000,,143
195.26,11,31.24,Adrak Wali Chai,2147.86,2116.6200000000003,,"2023-01-20",2.840000,,144
165.86,16,11.68,Sizzle My Brownie Sundae,2653.76,2642.0800000000004,,"2023-01-20",0.730000,,145
204.53,9,15.48,Cafe Americano Regular,1840.77,1825.29,,"2023-01-20",1.720000,,146
173.04,17,80.24,Spinach Corn N Cheese Sandwich,2941.68,2861.44,,"2023-01-20",4.720000,,147
176.72,10,32.50,Paneer N Mozzarella Toastizza,1767.2,1734.7,,"2023-01-20",3.250000,,148
248.19,16,62.24,Vanilla Cappuccino Regular,3971.04,3908.8,,"2023-01-20",3.890000,,149
145.80,31,60.14,Hazelnut Latte,4519.8,4459.66,,"2023-01-20",1.940000,,150
190.93,14,26.46,Classic Affogato,2673.02,2646.56,,"2023-01-20",1.890000,,151
147.64,14,28.84,Irish Cappuccino,2066.96,2038.1200000000001,,"2023-01-21",2.060000,,152
252.24,4,3.68,Hazelnut Brownie,1008.96,1005.2800000000001,,"2023-01-21",0.920000,,153
252.24,19,17.48,Hazelnut Brownie,4792.56,4775.080000000001,,"2023-01-21",0.920000,,154
204.53,11,18.92,Cafe Americano Regular,2249.83,2230.91,,"2023-01-21",1.720000,,155
228.98,7,18.48,Chocolate Croissant,1602.86,1584.3799999999999,,"2023-01-21",2.640000,,156
185.05,10,41.10,Croissant,1850.5,1809.4,,"2023-01-21",4.110000,,157
125.37,37,84.36,Death By Chocolate Sundae,4638.69,4554.33,,"2023-01-21",2.280000,,158
243.15,12,20.16,Peanut Butter Banana Frappe,2917.8,2897.6400000000003,,"2023-01-05",1.680000,,159
174.70,11,13.42,Irish Affogato,1921.7,1908.28,,"2023-01-21",1.220000,,160
148.51,31,44.33,White Mocha,4603.81,4559.4800000000005,,"2023-01-21",1.430000,,161
145.80,23,44.62,Hazelnut Latte,3353.4,3308.78,,"2023-01-21",1.940000,,162
190.93,10,18.90,Classic Affogato,1909.3,1890.3999999999999,,"2023-01-21",1.890000,,163
99.79,59,53.69,Cappuccino Regular,5887.61,5833.92,,"2023-01-05",0.910000,,164
239.31,21,73.29,Paneer Tikka Sandwich,5025.51,4952.22,,"2023-01-05",3.490000,,165
233.45,25,97.00,Honey Cinnamon Coffee,5836.25,5739.25,,"2023-01-21",3.880000,,166
233.45,6,23.28,Honey Cinnamon Coffee,1400.7,1377.42,,"2023-01-21",3.880000,,167
173.56,10,45.90,Signature Choco Fantasy,1735.6,1689.6999999999998,,"2023-01-21",4.590000,,168
245.97,10,29.20,Vanilla Latte Regular,2459.7,2430.5,,"2023-01-21",2.920000,,169
146.26,16,9.28,Classic Hot Fudge Sundae,2340.16,2330.8799999999997,,"2023-01-21",0.580000,,170
160.93,15,40.95,Hazelnut Cappuccino,2413.95,2373.0,,"2023-01-21",2.730000,,171
190.93,8,15.12,Classic Affogato,1527.44,1512.3200000000002,,"2023-01-22",1.890000,,172
148.51,22,31.46,White Mocha,3267.22,3235.7599999999998,,"2023-01-22",1.430000,,173
210.85,9,25.47,Red Velvet Cake,1897.65,1872.18,,"2023-01-22",2.830000,,174
125.37,47,107.16,Death By Chocolate Sundae,5892.39,5785.2300000000005,,"2023-01-22",2.280000,,175
148.51,17,24.31,White Mocha,2524.67,2500.36,,"2023-01-22",1.430000,,176
172.51,25,84.00,Tandoori Chicken Double Decker Sandwich,4312.75,4228.75,,"2023-01-22",3.360000,,177
248.19,12,46.68,Vanilla Cappuccino Regular,2978.28,2931.6000000000004,,"2023-01-22",3.890000,,178
156.45,29,61.48,Classic Garlic Bread,4537.05,4475.570000000001,,"2023-01-01",2.120000,,179
179.99,23,69.46,Smoked Chicken N Mozzarella Toastizza,4139.77,4070.3100000000004,,"2023-01-01",3.020000,,180
125.37,88,200.64,Death By Chocolate Sundae,11032.56,10831.92,,"2023-01-01",2.280000,,181
165.86,28,20.44,Sizzle My Brownie Sundae,4644.08,4623.64,,"2023-01-01",0.730000,,182
179.99,54,163.08,Smoked Chicken N Mozzarella Toastizza,9719.46,9556.38,,"2023-01-01",3.020000,,183
241.92,43,200.81,Butterscotch Crunch Cake,10402.56,10201.75,,"2023-01-01",4.670000,,184
233.02,9,41.67,Filter Coffee,2097.18,2055.5099999999998,,"2023-01-22",4.630000,,185
210.85,31,87.73,Red Velvet Cake,6536.35,6448.620000000001,,"2023-01-22",2.830000,,186
155.00,66,261.36,Elaichi Chai,10230.0,9968.64,,"2023-01-01",3.960000,,187
233.02,51,236.13,Filter Coffee,11884.02,11647.890000000001,,"2023-01-01",4.630000,,188
239.31,39,136.11,Paneer Tikka Sandwich,9333.09,9196.98,,"2023-01-01",3.490000,,189
251.37,36,156.60,Gooey Fudgy Brownie Sundae,9049.32,8892.72,,"2023-01-01",4.350000,,190
146.26,28,16.24,Classic Hot Fudge Sundae,4095.28,4079.0400000000004,,"2023-01-01",0.580000,,191
185.05,18,73.98,Croissant,3330.9,3256.92,,"2023-01-01",4.110000,,192
145.80,29,56.26,Hazelnut Latte,4228.2,4171.94,,"2023-01-22",1.940000,,193
222.93,8,18.80,Espresso Doppio,1783.44,1764.64,,"2023-01-22",2.350000,,194
251.37,12,52.20,Gooey Fudgy Brownie Sundae,3016.44,2964.2400000000002,,"2023-01-22",4.350000,,195
145.80,77,149.38,Hazelnut Latte,11226.6,11077.220000000001,,"2023-01-02",1.940000,,196
251.37,3,13.05,Gooey Fudgy Brownie Sundae,754.11,741.0600000000001,,"2023-01-22",4.350000,,197
147.59,35,82.60,Soya Cappuccino King,5165.65,5083.049999999999,,"2023-01-02",2.360000,,198
167.97,66,75.90,Smoked Chicken Double Decker Sandwich,11086.02,11010.12,,"2023-01-02",1.150000,,199
167.97,54,62.10,Smoked Chicken Double Decker Sandwich,9070.38,9008.279999999999,,"2023-01-02",1.150000,,200
132.68,89,226.95,Cappuccino King,11808.52,11581.57,,"2023-01-02",2.550000,,201
109.74,41,154.57,Salted Caramel Cappuccino,4499.34,4344.77,,"2023-01-22",3.770000,,202
225.70,13,61.88,Chilli Cheese Toast,2934.1,2872.22,,"2023-01-02",4.760000,,203
89.48,112,412.16,Hazelnut Affogato,10021.76,9609.6,,"2023-01-02",3.680000,,204
191.47,25,71.75,Nutty Chocolate Croissant Sundae,4786.75,4715.0,,"2023-01-23",2.870000,,205
89.48,39,143.52,Hazelnut Affogato,3489.72,3346.2,,"2023-01-23",3.680000,,206
194.70,55,206.80,Coconut Spiced Latte,10708.5,10501.7,,"2023-01-02",3.760000,,207
89.48,65,239.20,Hazelnut Affogato,5816.2,5577.0,,"2023-01-23",3.680000,,208
106.80,44,76.56,Dutch Truffle Cake,4699.2,4622.639999999999,,"2023-01-23",1.740000,,209
109.74,77,290.29,Salted Caramel Cappuccino,8449.98,8159.69,,"2023-01-02",3.770000,,210
147.59,14,33.04,Soya Cappuccino King,2066.26,2033.2200000000003,,"2023-01-23",2.360000,,211
163.93,43,137.17,Berry Vanilla Croissant Sundae,7048.99,6911.82,,"2023-01-02",3.190000,,212
225.70,14,66.64,Chilli Cheese Toast,3159.8,3093.1600000000003,,"2023-01-02",4.760000,,213
140.51,59,232.46,Cafe Americano Strong,8290.09,8057.63,,"2023-01-02",3.940000,,214
140.51,85,334.90,Cafe Americano Strong,11943.35,11608.45,,"2023-01-02",3.940000,,215
226.41,14,62.16,Peri Peri Garlic Bread,3169.74,3107.58,,"2023-01-23",4.440000,,216
228.98,23,60.72,Chocolate Croissant,5266.54,5205.82,,"2023-01-23",2.640000,,217
156.45,16,33.92,Classic Garlic Bread,2503.2,2469.2799999999997,,"2023-01-23",2.120000,,218
148.51,14,20.02,White Mocha,2079.14,2059.12,,"2023-01-23",1.430000,,219
251.37,29,126.15,Gooey Fudgy Brownie Sundae,7289.73,7163.58,,"2023-01-02",4.350000,,220
173.04,17,80.24,Spinach Corn N Cheese Sandwich,2941.68,2861.44,,"2023-01-23",4.720000,,221
141.44,59,195.29,Cheese Tomato Croissant Sliders,8344.96,8149.669999999999,,"2023-01-02",3.310000,,222
201.15,42,112.14,Cafe Latte Regular,8448.3,8336.16,,"2023-01-02",2.670000,,223
172.51,39,131.04,Tandoori Chicken Double Decker Sandwich,6727.89,6596.85,,"2023-01-02",3.360000,,224
174.70,40,48.80,Irish Affogato,6988.0,6939.2,,"2023-01-02",1.220000,,225
182.12,14,57.82,Irish Coffee,2549.68,2491.8599999999997,,"2023-01-23",4.130000,,226
237.94,12,36.24,Choco Nirvana Sundae,2855.28,2819.0400000000004,,"2023-01-02",3.020000,,227
206.34,10,40.70,Paneer Tikka Double Decker Sandwich,2063.4,2022.7,,"2023-01-23",4.070000,,228
155.00,41,162.36,Elaichi Chai,6355.0,6192.64,,"2023-01-23",3.960000,,229
147.64,44,90.64,Irish Cappuccino,6496.16,6405.5199999999995,,"2023-01-02",2.060000,,230
174.70,9,10.98,Irish Affogato,1572.3,1561.32,,"2023-01-23",1.220000,,231
233.45,30,116.40,Honey Cinnamon Coffee,7003.5,6887.1,,"2023-01-02",3.880000,,232
231.91,16,61.92,Cafe Mocha,3710.56,3648.64,,"2023-01-23",3.870000,,233
190.93,26,49.14,Classic Affogato,4964.18,4915.04,,"2023-01-02",1.890000,,234
130.23,101,426.22,Caramel Affogato,13153.23,12727.01,,"2023-01-02",4.220000,,235
241.92,18,84.06,Butterscotch Crunch Cake,4354.56,4270.5,,"2023-01-23",4.670000,,236
228.98,17,44.88,Chocolate Croissant,3892.66,3847.7799999999997,,"2023-01-23",2.640000,,237
155.00,27,106.92,Elaichi Chai,4185.0,4078.08,,"2023-01-23",3.960000,,238
155.00,44,174.24,Elaichi Chai,6820.0,6645.76,,"2023-01-03",3.960000,,239
204.53,16,27.52,Cafe Americano Regular,3272.48,3244.96,,"2023-01-03",1.720000,,240
89.48,72,264.96,Hazelnut Affogato,6442.56,6177.6,,"2023-01-03",3.680000,,241
243.15,22,36.96,Peanut Butter Banana Frappe,5349.3,5312.34,,"2023-01-23",1.680000,,242
143.24,49,126.42,Tiramisu Affogato,7018.76,6892.34,,"2023-01-03",2.580000,,243
182.12,68,280.84,Irish Coffee,12384.16,12103.32,,"2023-01-03",4.130000,,244
237.94,26,78.52,Choco Nirvana Sundae,6186.44,6107.919999999999,,"2023-01-03",3.020000,,245
206.17,12,31.68,Smoked Chicken Sandwich,2474.04,2442.36,,"2023-01-03",2.640000,,246
150.19,49,101.43,Frappe Lite,7359.31,7257.88,,"2023-01-03",2.070000,,247
190.93,31,58.59,Classic Affogato,5918.83,5860.24,,"2023-01-03",1.890000,,248
163.93,31,98.89,Berry Vanilla Croissant Sundae,5081.83,4982.94,,"2023-01-03",3.190000,,249
172.51,19,63.84,Tandoori Chicken Double Decker Sandwich,3277.69,3213.85,,"2023-01-03",3.360000,,250
147.64,22,45.32,Irish Cappuccino,3248.08,3202.7599999999998,,"2023-01-03",2.060000,,251
231.91,40,154.80,Cafe Mocha,9276.4,9121.6,,"2023-01-03",3.870000,,252
173.04,30,141.60,Spinach Corn N Cheese Sandwich,5191.2,5049.599999999999,,"2023-01-03",4.720000,,253
172.51,32,107.52,Tandoori Chicken Double Decker Sandwich,5520.32,5412.799999999999,,"2023-01-03",3.360000,,254
223.30,44,137.28,Plant Milk Frappe-Oat,9825.2,9687.92,,"2023-01-03",3.120000,,255
147.59,42,99.12,Soya Cappuccino King,6198.78,6099.66,,"2023-01-03",2.360000,,256
231.91,7,27.09,Cafe Mocha,1623.37,1596.28,,"2023-01-03",3.870000,,257
165.86,33,24.09,Sizzle My Brownie Sundae,5473.38,5449.29,,"2023-01-03",0.730000,,258
173.04,54,254.88,Spinach Corn N Cheese Sandwich,9344.16,9089.28,,"2023-01-03",4.720000,,259
248.19,44,171.16,Vanilla Cappuccino Regular,10920.36,10749.2,,"2023-01-03",3.890000,,260
243.15,22,36.96,Peanut Butter Banana Frappe,5349.3,5312.34,,"2023-01-03",1.680000,,261
155.00,51,201.96,Elaichi Chai,7905.0,7703.04,,"2023-01-03",3.960000,,262
148.51,112,160.16,White Mocha,16633.12,16472.96,,"2023-01-04",1.430000,,263
140.51,25,98.50,Cafe Americano Strong,3512.75,3414.25,,"2023-01-04",3.940000,,264
228.98,34,89.76,Chocolate Croissant,7785.32,7695.5599999999995,,"2023-01-04",2.640000,,265
222.93,19,44.65,Espresso Doppio,4235.67,4191.02,,"2023-01-04",2.350000,,266
148.51,25,35.75,White Mocha,3712.75,3677.0,,"2023-01-04",1.430000,,267
223.30,13,40.56,Plant Milk Frappe-Oat,2902.9,2862.34,,"2023-01-04",3.120000,,268
206.17,53,139.92,Smoked Chicken Sandwich,10927.01,10787.09,,"2023-01-04",2.640000,,269
89.48,62,228.16,Hazelnut Affogato,5547.76,5319.6,,"2023-01-05",3.680000,,270
201.15,43,114.81,Cafe Latte Regular,8649.45,8534.640000000001,,"2023-01-05",2.670000,,271
150.19,27,55.89,Frappe Lite,4055.13,3999.2400000000002,,"2023-01-05",2.070000,,272
109.07,102,128.52,Cafe Latte King,11125.14,10996.619999999999,,"2023-01-04",1.260000,,273
173.04,16,75.52,Spinach Corn N Cheese Sandwich,2768.64,2693.12,,"2023-01-04",4.720000,,274
190.93,53,100.17,Classic Affogato,10119.29,10019.12,,"2023-01-04",1.890000,,275
163.93,42,133.98,Berry Vanilla Croissant Sundae,6885.06,6751.080000000001,,"2023-01-04",3.190000,,276
191.47,39,111.93,Nutty Chocolate Croissant Sundae,7467.33,7355.4,,"2023-01-04",2.870000,,277
190.93,27,51.03,Classic Affogato,5155.11,5104.08,,"2023-01-04",1.890000,,278
